[INFO 2017-09-20 19:21:53,717 demo.py:213] Namespace(batch_size=64, bg_move=False, bg_noise=0.5, bidirection=False, data='mpii64', diff_div_thresh=1.25, display=False, display_all=False, fg_noise=0.1, fixed_data=False, image_channel=3, image_size=64, init_model_path='', learning_rate=0.001, max_diff_thresh=0.1, method='unsupervised', min_diff_thresh=0.01, motion_range=2, motion_type='affine', num_frame=3, num_objects=1, save_dir='./', save_display=False, save_display_dir='./', seed=111, test=False, test_epoch=20, test_gt=False, test_interval=200, train=True, train_epoch=2000)
[INFO 2017-09-20 19:21:57,523 demo.py:73] epoch 0, train loss: 55247.48, average train loss: 55247.48, base loss: 20496.40
[INFO 2017-09-20 19:21:58,744 demo.py:73] epoch 1, train loss: 47919.90, average train loss: 51583.69, base loss: 19844.94
[INFO 2017-09-20 19:21:59,997 demo.py:73] epoch 2, train loss: 48593.25, average train loss: 50586.88, base loss: 20337.84
[INFO 2017-09-20 19:22:01,120 demo.py:73] epoch 3, train loss: 46302.81, average train loss: 49515.86, base loss: 20509.27
[INFO 2017-09-20 19:22:02,229 demo.py:73] epoch 4, train loss: 41670.27, average train loss: 47946.74, base loss: 20631.34
[INFO 2017-09-20 19:22:03,317 demo.py:73] epoch 5, train loss: 39719.12, average train loss: 46575.47, base loss: 20485.84
[INFO 2017-09-20 19:22:04,408 demo.py:73] epoch 6, train loss: 35649.17, average train loss: 45014.57, base loss: 19959.97
[INFO 2017-09-20 19:22:05,542 demo.py:73] epoch 7, train loss: 36521.81, average train loss: 43952.98, base loss: 20292.64
[INFO 2017-09-20 19:22:06,647 demo.py:73] epoch 8, train loss: 33783.47, average train loss: 42823.03, base loss: 20176.95
[INFO 2017-09-20 19:22:07,715 demo.py:73] epoch 9, train loss: 32209.75, average train loss: 41761.70, base loss: 20113.18
[INFO 2017-09-20 19:22:08,791 demo.py:73] epoch 10, train loss: 30719.84, average train loss: 40757.90, base loss: 20103.88
[INFO 2017-09-20 19:22:09,887 demo.py:73] epoch 11, train loss: 31158.38, average train loss: 39957.94, base loss: 20231.73
[INFO 2017-09-20 19:22:10,965 demo.py:73] epoch 12, train loss: 28407.98, average train loss: 39069.48, base loss: 20293.13
[INFO 2017-09-20 19:22:12,034 demo.py:73] epoch 13, train loss: 28211.92, average train loss: 38293.94, base loss: 20210.18
[INFO 2017-09-20 19:22:13,132 demo.py:73] epoch 14, train loss: 25971.82, average train loss: 37472.46, base loss: 20117.09
[INFO 2017-09-20 19:22:14,215 demo.py:73] epoch 15, train loss: 26527.97, average train loss: 36788.43, base loss: 20252.99
[INFO 2017-09-20 19:22:15,314 demo.py:73] epoch 16, train loss: 25661.73, average train loss: 36133.92, base loss: 20295.71
[INFO 2017-09-20 19:22:16,428 demo.py:73] epoch 17, train loss: 24782.52, average train loss: 35503.29, base loss: 20281.61
[INFO 2017-09-20 19:22:17,519 demo.py:73] epoch 18, train loss: 24651.69, average train loss: 34932.15, base loss: 20341.70
[INFO 2017-09-20 19:22:18,689 demo.py:73] epoch 19, train loss: 25447.05, average train loss: 34457.90, base loss: 20415.11
[INFO 2017-09-20 19:22:19,781 demo.py:73] epoch 20, train loss: 22857.90, average train loss: 33905.52, base loss: 20412.32
[INFO 2017-09-20 19:22:20,861 demo.py:73] epoch 21, train loss: 21569.15, average train loss: 33344.77, base loss: 20372.79
[INFO 2017-09-20 19:22:21,967 demo.py:73] epoch 22, train loss: 23810.45, average train loss: 32930.24, base loss: 20475.86
[INFO 2017-09-20 19:22:23,051 demo.py:73] epoch 23, train loss: 21402.67, average train loss: 32449.92, base loss: 20461.64
[INFO 2017-09-20 19:22:24,160 demo.py:73] epoch 24, train loss: 21179.96, average train loss: 31999.12, base loss: 20430.80
[INFO 2017-09-20 19:22:25,254 demo.py:73] epoch 25, train loss: 19946.52, average train loss: 31535.56, base loss: 20360.19
[INFO 2017-09-20 19:22:26,355 demo.py:73] epoch 26, train loss: 24767.90, average train loss: 31284.91, base loss: 20501.17
[INFO 2017-09-20 19:22:27,458 demo.py:73] epoch 27, train loss: 23579.44, average train loss: 31009.71, base loss: 20600.90
[INFO 2017-09-20 19:22:28,560 demo.py:73] epoch 28, train loss: 25095.27, average train loss: 30805.77, base loss: 20759.74
[INFO 2017-09-20 19:22:29,655 demo.py:73] epoch 29, train loss: 21370.31, average train loss: 30491.25, base loss: 20777.14
[INFO 2017-09-20 19:22:30,759 demo.py:73] epoch 30, train loss: 22499.48, average train loss: 30233.45, base loss: 20830.01
[INFO 2017-09-20 19:22:31,856 demo.py:73] epoch 31, train loss: 18615.26, average train loss: 29870.38, base loss: 20755.36
[INFO 2017-09-20 19:22:32,962 demo.py:73] epoch 32, train loss: 20574.37, average train loss: 29588.69, base loss: 20764.22
[INFO 2017-09-20 19:22:34,032 demo.py:73] epoch 33, train loss: 20948.78, average train loss: 29334.57, base loss: 20785.05
[INFO 2017-09-20 19:22:35,123 demo.py:73] epoch 34, train loss: 19691.14, average train loss: 29059.04, base loss: 20760.65
[INFO 2017-09-20 19:22:36,212 demo.py:73] epoch 35, train loss: 20565.77, average train loss: 28823.12, base loss: 20775.00
[INFO 2017-09-20 19:22:37,298 demo.py:73] epoch 36, train loss: 20873.74, average train loss: 28608.27, base loss: 20796.33
[INFO 2017-09-20 19:22:38,393 demo.py:73] epoch 37, train loss: 18746.68, average train loss: 28348.76, base loss: 20757.89
[INFO 2017-09-20 19:22:39,476 demo.py:73] epoch 38, train loss: 19510.27, average train loss: 28122.13, base loss: 20743.33
[INFO 2017-09-20 19:22:40,563 demo.py:73] epoch 39, train loss: 22105.83, average train loss: 27971.72, base loss: 20808.08
[INFO 2017-09-20 19:22:41,650 demo.py:73] epoch 40, train loss: 18288.30, average train loss: 27735.54, base loss: 20769.61
[INFO 2017-09-20 19:22:42,729 demo.py:73] epoch 41, train loss: 22018.19, average train loss: 27599.41, base loss: 20838.42
[INFO 2017-09-20 19:22:43,834 demo.py:73] epoch 42, train loss: 19989.29, average train loss: 27422.43, base loss: 20839.82
[INFO 2017-09-20 19:22:44,926 demo.py:73] epoch 43, train loss: 21509.41, average train loss: 27288.05, base loss: 20881.69
[INFO 2017-09-20 19:22:46,016 demo.py:73] epoch 44, train loss: 21346.86, average train loss: 27156.02, base loss: 20916.16
[INFO 2017-09-20 19:22:47,121 demo.py:73] epoch 45, train loss: 20506.55, average train loss: 27011.47, base loss: 20928.88
[INFO 2017-09-20 19:22:48,227 demo.py:73] epoch 46, train loss: 21630.07, average train loss: 26896.97, base loss: 20973.79
